id_specific,extra_key,value_ts,strategy,internal_code,ric,ticker,target_notional,currency,target_contracts,ref_price,advisor_name
DF,dfilabs_BTC_USDT,2025-09-15 23:55,dfilabs,Binance Linear_BTC_USDT_FUTPERP,BTC_USDT,BTC_USDT,102366.94468783143,USD,1,115344.0,DFI Labs
DF,dfilabs_ETH_USDT,2025-09-15 23:55,dfilabs,Binance Linear_ETH_USDT_FUTPERP,ETH_USDT,ETH_USDT,41690.42193854695,USD,1,4522.61,DFI Labs
DF,dfilabs_XRP_USDT,2025-09-15 23:55,dfilabs,Binance Linear_XRP_USDT_FUTPERP,XRP_USDT,XRP_USDT,14315.110695092908,USD,1,2.9939,DFI Labs
DF,dfilabs_BNB_USDT,2025-09-15 23:55,dfilabs,Binance Linear_BNB_USDT_FUTPERP,BNB_USDT,BNB_USDT,122553.48914292805,USD,1,919.79,DFI Labs
DF,dfilabs_SOL_USDT,2025-09-15 23:55,dfilabs,Binance Linear_SOL_USDT_FUTPERP,SOL_USDT,SOL_USDT,41415.2048911241,USD,1,234.02,DFI Labs
DF,dfilabs_TRX_USDT,2025-09-15 23:55,dfilabs,Binance Linear_TRX_USDT_FUTPERP,TRX_USDT,TRX_USDT,124893.95588275911,USD,1,0.34439,DFI Labs
DF,dfilabs_DOGE_USDT,2025-09-15 23:55,dfilabs,Binance Linear_DOGE_USDT_FUTPERP,DOGE_USDT,DOGE_USDT,5467.8049731394285,USD,1,0.26834,DFI Labs
DF,dfilabs_ADA_USDT,2025-09-15 23:55,dfilabs,Binance Linear_ADA_USDT_FUTPERP,ADA_USDT,ADA_USDT,2853.3526331633243,USD,1,0.8626,DFI Labs
DF,dfilabs_AVAX_USDT,2025-09-15 23:55,dfilabs,Binance Linear_AVAX_USDT_FUTPERP,AVAX_USDT,AVAX_USDT,-3393.5050473470455,USD,-1,29.812,DFI Labs
DF,dfilabs_LINK_USDT,2025-09-15 23:55,dfilabs,Binance Linear_LINK_USDT_FUTPERP,LINK_USDT,LINK_USDT,-25339.972746601972,USD,-1,23.569,DFI Labs
DF,dfilabs_ICP_USDT,2025-09-15 23:55,dfilabs,Binance Linear_ICP_USDT_FUTPERP,ICP_USDT,ICP_USDT,10886.939743658375,USD,1,4.664,DFI Labs
DF,dfilabs_XLM_USDT,2025-09-15 23:55,dfilabs,Binance Linear_XLM_USDT_FUTPERP,XLM_USDT,XLM_USDT,11456.13696809738,USD,1,0.38027,DFI Labs
DF,dfilabs_HBAR_USDT,2025-09-15 23:55,dfilabs,Binance Linear_HBAR_USDT_FUTPERP,HBAR_USDT,HBAR_USDT,23344.265702551267,USD,1,0.23685,DFI Labs
DF,dfilabs_FET_USDT,2025-09-15 23:55,dfilabs,Binance Linear_FET_USDT_FUTPERP,FET_USDT,FET_USDT,-37781.66402102543,USD,-1,0.6391,DFI Labs
DF,dfilabs_BCH_USDT,2025-09-15 23:55,dfilabs,Binance Linear_BCH_USDT_FUTPERP,BCH_USDT,BCH_USDT,68473.08950583682,USD,1,593.45,DFI Labs
DF,dfilabs_LTC_USDT,2025-09-15 23:55,dfilabs,Binance Linear_LTC_USDT_FUTPERP,LTC_USDT,LTC_USDT,-14207.356647211567,USD,-1,113.69,DFI Labs
DF,dfilabs_DOT_USDT,2025-09-15 23:55,dfilabs,Binance Linear_DOT_USDT_FUTPERP,DOT_USDT,DOT_USDT,-10302.027499355763,USD,-1,4.148,DFI Labs
DF,dfilabs_TON_USDT,2025-09-15 23:55,dfilabs,Binance Linear_TON_USDT_FUTPERP,TON_USDT,TON_USDT,-54234.38415799637,USD,-1,3.1543,DFI Labs
DF,dfilabs_RENDER_USDT,2025-09-15 23:55,dfilabs,Binance Linear_RENDER_USDT_FUTPERP,RENDER_USDT,RENDER_USDT,-20604.48234846431,USD,-1,3.783,DFI Labs
DF,dfilabs_SUI_USDT,2025-09-15 23:55,dfilabs,Binance Linear_SUI_USDT_FUTPERP,SUI_USDT,SUI_USDT,-8085.862375473861,USD,-1,3.521,DFI Labs
DF,dfilabs_UNI_USDT,2025-09-15 23:55,dfilabs,Binance Linear_UNI_USDT_FUTPERP,UNI_USDT,UNI_USDT,-2507.7874436826564,USD,-1,9.157,DFI Labs
DF,dfilabs_NEAR_USDT,2025-09-15 23:55,dfilabs,Binance Linear_NEAR_USDT_FUTPERP,NEAR_USDT,NEAR_USDT,-16622.896883615864,USD,-1,2.626,DFI Labs
DF,dfilabs_ETC_USDT,2025-09-15 23:55,dfilabs,Binance Linear_ETC_USDT_FUTPERP,ETC_USDT,ETC_USDT,-17891.854652578902,USD,-1,20.351,DFI Labs
DF,dfilabs_AAVE_USDT,2025-09-15 23:55,dfilabs,Binance Linear_AAVE_USDT_FUTPERP,AAVE_USDT,AAVE_USDT,-56528.700268222026,USD,-1,299.13,DFI Labs
DF,dfilabs_VET_USDT,2025-09-15 23:55,dfilabs,Binance Linear_VET_USDT_FUTPERP,VET_USDT,VET_USDT,-46020.879185424514,USD,-1,0.024084,DFI Labs
DF,dfilabs_ATOM_USDT,2025-09-15 23:55,dfilabs,Binance Linear_ATOM_USDT_FUTPERP,ATOM_USDT,ATOM_USDT,-6503.884437993902,USD,-1,4.504,DFI Labs
DF,dfilabs_ALGO_USDT,2025-09-15 23:55,dfilabs,Binance Linear_ALGO_USDT_FUTPERP,ALGO_USDT,ALGO_USDT,-24576.8018204262,USD,-1,0.2326,DFI Labs
DF,dfilabs_APT_USDT,2025-09-15 23:55,dfilabs,Binance Linear_APT_USDT_FUTPERP,APT_USDT,APT_USDT,26882.589287864856,USD,1,4.3764,DFI Labs
DF,dfilabs_FIL_USDT,2025-09-15 23:55,dfilabs,Binance Linear_FIL_USDT_FUTPERP,FIL_USDT,FIL_USDT,-58798.6344119855,USD,-1,2.411,DFI Labs
